,Body wall muscle anterior,Body wall muscle posterior,Coelomocytes,Distal tip,Glia_3,Hypodermis tail,Intestinal-rectal valve,Intestine anterior,Intestine posterior,Seam cells (grd+),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck proximal,Spermatheca-Uterine junction,Syncitial pachytene spermatocytes,Unassigned sex-specific muscle,Unassigned uterine cells,Uterine muscle,Uterine toroid,Uterine-vulval cells,Vulval cells,pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh3_sh4 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D2_7,0.010035193035238539,0.02197112530248212,0.008534677892490078,0.023887209504900375,0.0,0.0,0.062031326650888,0.026254090625986097,0.1137057569521541,0.07142994610537774,0.0005139547323457643,0.0876584498742399,0.008265558021222351,0.03188395023909482,0.037173495945859565,0.023885466105159528,0.048040269147889184,0.048080444068894515,0.03698206002507266,0.004486916837984904,0.008357470303114331,0.0,0.12097461825610337,0.0,0.07124943623820444,0.10176679770285717,0.0328317864324404
LFQ intensity D2_8,0.009777347701577833,0.013807158298500906,0.008356273090605215,0.03483607652358513,0.0,0.0,0.07856159745022699,0.011799106701861427,0.10797033146088124,0.057818965455972364,0.0,0.09109324626729802,0.01587578314028379,0.03277197002034838,0.015010360155527189,0.022932416353172804,0.04372883851638334,0.05334738255454599,0.03812371893146076,0.00461809734356897,0.01986053965552303,0.0,0.12616525319379357,0.0,0.07789594257339208,0.10600286875285997,0.029646725858631134
LFQ intensity D2_9,0.004865303357318179,0.0,0.0073370272983356785,0.02982933265525877,0.0,0.018809132481270932,0.06002462647775738,0.03000177286687294,0.11095074965637515,0.07025300462156481,0.0037849510754073886,0.08919883129380424,0.022305940443030255,0.003807978741999498,0.050944972868652315,0.019129270675971234,0.046738903708606276,0.054357499084739004,0.03978599841269967,0.00785459762025268,0.009369301956729359,0.0,0.08766593033647009,0.016114958226927486,0.07020705368971931,0.11664803315272276,0.030014829297514693
LFQ intensity D3_1,0.006570490225134645,0.0,0.00917318381065857,0.03097111364205638,0.0,0.0,0.06705889187243612,0.029867880814505077,0.12231304048236005,0.04059069310906756,0.014313095722199553,0.08730359368090389,0.017659627741546693,0.012123033190650702,0.022604296487345178,0.017063599798711502,0.05268161483945884,0.06427894346315373,0.04006282629070228,0.014667531828599088,0.0,0.0,0.08518679679334287,0.019933732552143594,0.0887182604780496,0.12041603458132158,0.03644171859565244
LFQ intensity D3_10,0.008079809011171663,0.007123345538317427,0.004652957301776085,0.034245220286896264,0.0,0.0,0.07298864695527334,0.023289381555938085,0.10490485633219336,0.002728910276758851,0.003017164799568755,0.08348829922212192,0.014246194326545742,0.01414373100158559,0.040418653300396935,0.01563791031085097,0.0680247319979142,0.07151239682606023,0.033794296178922004,0.0017179708348761128,0.029199463206766307,0.0,0.10176704785147947,0.005477994431915141,0.08814821139138283,0.13658013609513706,0.0348126709661516
LFQ intensity D3_11,0.008881644818967733,0.0064332619374297875,0.010569090368043363,0.03268264885158922,0.0,0.0,0.0598963063046862,0.037629562667100894,0.10673050657929876,0.005759320970514741,0.0,0.09253253432723761,0.003579617200497173,0.020854824770271542,0.022289782744450346,0.018111304479599535,0.05653274867765571,0.06116444782565696,0.03886736807112525,0.005787046838096924,0.06697936442659815,0.0,0.09858626954470315,0.009434133911411942,0.07293796272251257,0.12323214289025523,0.04052810907229712
LFQ intensity D3_2,0.0,0.0,0.0034073172149092154,0.05584359165556903,0.0,0.0,0.0559655990187033,0.05519370300698271,0.11045260598074054,0.0,0.020047704539689237,0.09003606955376856,0.002755989904710875,0.007219842000013224,0.024424582543370096,0.009269118319299592,0.04749321013308885,0.06296278248340194,0.0382894626814743,0.016172622231564897,0.0,0.0,0.08732202343710645,0.04005420118056731,0.09098525479656626,0.16153721742181879,0.020567101896654783
LFQ intensity D3_3,0.00201506934432485,0.0,0.008408399069537489,0.03174482011388785,0.0,0.0,0.0657785192445055,0.025756328254729427,0.10588916269939504,0.041370652867692724,0.015176800860976518,0.07195096082473955,0.01521330705179644,0.0130025270403364,0.050067297100137624,0.012304386694163423,0.05252740297152573,0.06437164337335853,0.040120529683261595,0.0044293109063423056,0.04290214152398906,0.0,0.09387372056967233,0.003014538764705724,0.08579328967500893,0.11482035721514779,0.03946883415076516
LFQ intensity D3_4,0.006251948693126406,0.04393030222865951,0.0151657029873854,0.03186195811913415,0.0,0.0,0.06784736697012364,0.011669755408859128,0.11208677230664635,0.0,0.007350113186855781,0.09207455688304816,0.016031523746639662,0.014102660617084949,0.0450639087442625,0.012379035781920879,0.05874913570522137,0.05368370721711642,0.04702684394136343,0.009257539945424817,0.0030301569551953265,0.0,0.11119518613532874,0.0,0.090987773258032,0.10533294741732943,0.04492110375124202
LFQ intensity D3_5,0.007270893006770971,0.007105363644723152,0.02732417993627912,0.02664587679886702,0.0,7.76135203865539e-05,0.06339045692576464,0.02591761424712882,0.11599929216229661,0.022304872675712413,0.0,0.10375873740047047,0.0,0.0,0.021270732438902748,0.02079534891173204,0.060243840302223385,0.06606095453860189,0.05132118286968703,0.011435320261577245,0.009466116849811768,0.0,0.10442512233614563,0.013923459729778577,0.08896884200684696,0.11325868831467822,0.039035491121614814
